Item,Sentence
1,the spy monitored a politician several month .
2,the commisioner wrote a reprot for the chairman .
3,what did you dress up for as halloween ?
4,the key to the offices are on the desk .
5,my friend gave a new book her daughter .
6,more people have been to amusement parks than i have .
7,the librarian placed the books on the highest shelf .
8,a dog barked loudly near the entrance to the park .
9,maria noticed the broken lightbulb in the hallway .
10,the children were playing quietly in the living room .
11,after dinner the chef washed all the dirty dishes .
12,the artist painted a landscape using soft pastels .
13,a sudden breeze knocked over the empty cup .
14,the bus arrived earlier than anyone expected .
15,he found the missing keys under the couch .
16,several tourists stopped to admire the sculpture .